YEAR;MONTH.DISC;DAY.DISC;MONTH.CONT;LONG.DD;LAT.DD
1996.00;7.00;30.00;8.00;-119.10;44.63
1996.00;7.00;30.00;8.00;-119.12;44.63
1996.00;7.00;30.00;8.00;-119.15;44.61
1996.00;7.00;30.00;8.00;-119.19;44.59
1996.00;7.00;30.00;8.00;-119.29;44.56
1996.00;7.00;30.00;8.00;-119.44;44.53
1996.00;7.00;30.00;8.00;-119.75;44.42
1996.00;7.00;30.00;8.00;-119.76;44.42
1996.00;7.00;30.00;8.00;-119.78;44.42
1996.00;7.00;30.00;8.00;-120.05;44.37
1996.00;7.00;30.00;8.00;-120.10;44.36
1996.00;7.00;30.00;8.00;-120.15;44.35
1996.00;7.00;30.00;8.00;-120.41;44.29
1996.00;7.00;30.00;8.00;-120.44;44.28
1996.00;7.00;30.00;8.00;-120.53;44.27
1996.00;7.00;30.00;8.00;-120.86;44.14
1996.00;8.00;30.00;8.00;-121.22;43.93
1996.00;7.00;30.00;8.00;-121.32;43.82
1996.00;7.00;30.00;8.00;-121.47;43.73
1996.00;7.00;30.00;8.00;-121.53;43.70
1996.00;7.00;30.00;8.00;-121.53;43.70
1996.00;7.00;30.00;8.00;-121.58;43.66
1996.00;7.00;30.00;8.00;-121.63;43.61
1996.00;7.00;30.00;8.00;-121.66;43.58
1996.00;7.00;30.00;8.00;-121.78;43.47
1996.00;7.00;30.00;8.00;-121.80;43.46
1996.00;7.00;30.00;8.00;-121.81;43.43
1996.00;7.00;30.00;8.00;-121.83;43.41
1996.00;7.00;30.00;8.00;-121.85;43.41
1996.00;7.00;30.00;8.00;-121.86;43.39
1996.00;7.00;30.00;8.00;-121.90;43.37
1996.00;7.00;30.00;8.00;-121.98;43.27
1996.00;7.00;30.00;8.00;-122.07;43.13
1996.00;8.00;30.00;8.00;-122.09;43.12
1996.00;7.00;30.00;8.00;-122.15;43.00
1996.00;8.00;30.00;8.00;-122.15;43.00
1996.00;7.00;30.00;8.00;-122.17;42.97
1996.00;7.00;30.00;8.00;-122.20;42.93
1996.00;7.00;30.00;8.00;-122.24;42.88
1996.00;7.00;30.00;8.00;-122.24;42.88
1996.00;8.00;30.00;8.00;-122.29;42.81
1996.00;7.00;30.00;8.00;-122.38;42.71
